x0,y0,x1,y1,score,label
28010,2235,28031,2269,0.728,2
28343,2442,28370,2464,0.7852,3
27961,2161,27992,2187,0.7759,2
28091,2286,28110,2316,0.4248,3
28030,2301,28054,2326,0.6953,3
28118,2213,28135,2242,0.491,2
28081,2393,28100,2419,0.7402,2
28030,2229,28051,2251,0.5054,3
27972,2214,27998,2235,0.6641,2
28310,2344,28330,2366,0.2791,2
28330,2229,28367,2260,0.2004,2
28063,2253,28077,2282,0.6201,2
28053,2168,28088,2196,0.6104,3
27981,2353,28000,2386,0.6836,2
28357,2398,28388,2422,0.4392,2
28172,2215,28195,2238,0.6274,2
28367,2239,28390,2268,0.2426,1
28360,2268,28388,2294,0.283,1
28409,2440,28442,2470,0.4426,3
28198,2246,28218,2286,0.5625,2
28321,2264,28354,2282,0.3904,2
28372,2446,28387,2466,0.5464,3
28357,2416,28380,2444,0.3767,2
28108,2175,28124,2194,0.3623,3
28414,2291,28435,2314,0.4861,3
27930,2100,27948,2122,0.4888,2
28334,2411,28351,2427,0.4102,3
28339,2385,28368,2403,0.4165,2
28389,2270,28419,2305,0.3806,3
27953,2389,27974,2412,0.4421,2
28156,2145,28172,2160,0.3411,3
28010,2301,28024,2320,0.2433,2
28357,2326,28375,2338,0.2725,2
28060,2326,28081,2341,0.3467,2
28029,2406,28054,2438,0.3291,2
27909,2290,27927,2316,0.3127,2
28120,2302,28142,2346,0.2825,2
28356,2358,28370,2371,0.1576,2
27992,2149,28019,2181,0.2294,2
28296,2251,28331,2275,0.1512,2
28014,2280,28036,2299,0.1604,2
27912,2294,27930,2332,0.17,2
28436,2414,28470,2454,0.6045,3
28444,2377,28482,2420,0.4902,3
28424,2350,28462,2386,0.6509,3
28642,2394,28668,2421,0.6392,1
28611,2331,28646,2371,0.4143,3
28418,2323,28452,2355,0.5625,3
28515,2352,28573,2416,0.5713,1
28647,2358,28682,2395,0.377,3
28561,2336,28596,2372,0.4646,3
28578,2350,28601,2378,0.416,3
28525,2295,28561,2345,0.251,3
28613,2386,28640,2416,0.2651,1
28476,2354,28519,2397,0.3872,1
28671,2372,28708,2414,0.2439,3
28468,2296,28525,2348,0.2158,1
28433,2460,28451,2478,0.1589,3
28618,2372,28644,2395,0.1597,1
28523,2282,28557,2321,0.2539,-100
28578,2387,28610,2417,0.2257,-100
28422,2251,28443,2275,0.151,-100
